movie_id,country
19995,US
19995,GB
285,US
206647,GB
206647,US
49026,US
49529,US
559,US
38757,US
99861,US
767,GB
767,US
209112,US
1452,US
10764,GB
10764,US
58,JM
58,US
58,BS
58,DM
57201,US
49521,GB
49521,US
2454,CZ
2454,PL
2454,SI
2454,US
24428,US
1865,US
41154,US
122917,NZ
122917,US
1930,US
20662,GB
20662,US
57158,NZ
57158,US
2268,GB
2268,US
254,NZ
254,US
254,DE
597,US
271110,US
44833,US
135397,US
37724,GB
37724,US
558,US
68721,CN
68721,US
12155,US
36668,CA
36668,GB
36668,US
62211,US
8373,US
91314,US
68728,US
102382,US
20526,US
49013,US
44912,US
10193,US
534,DE
534,IT
534,GB
534,US
168259,JP
168259,US
72190,US
72190,MT
127585,GB
127585,US
54138,US
81005,US
64682,US
64682,AU
9543,US
68726,US
68726,CA
38356,US
217,US
105864,US
62177,US
188927,US
10681,US
5174,US
14161,CA
14161,US
17979,US
76757,US
258489,CA
258489,GB
258489,US
411,GB
411,US
246655,US
155,GB
155,US
14160,US
15512,US
1726,US
44826,FR
44826,US
44826,GB
8487,US
1735,DE
1735,US
297761,US
2698,US
137113,AU
137113,US
9804,US
14869,CZ
14869,US
150540,US
278927,GB
278927,US
10138,US
58595,US
102651,US
119450,US
79698,AU
79698,BE
79698,IN
64686,US
100402,US
10192,US
158852,US
177572,US
82690,US
5255,US
47933,US
10191,US
296,DE
296,GB
296,US
118340,GB
118340,US
157336,CA
157336,US
157336,GB
27205,GB
27205,US
315011,JP
49051,NZ
49051,US
9799,DE
9799,US
4922,US
49538,US
131634,DE
131634,US
27022,US
503,US
241259,GB
241259,US
810,US
68735,CA
68735,CN
68735,JP
68735,US
87101,US
10140,US
676,US
1858,US
1966,FR
1966,DE
1966,IT
1966,NL
1966,GB
1966,US
675,GB
675,US
674,GB
674,US
8960,US
6479,US
118,AU
118,GB
118,US
2062,US
272,GB
272,US
10527,US
18360,US
18360,CA
2080,US
605,US
605,AU
109445,US
604,AU
604,US
76338,US
76341,AU
76341,US
13448,IT
13448,US
10195,US
13053,US
19585,US
57165,ES
57165,US
62213,AU
62213,US
177677,CN
177677,US
7978,US
5559,US
49444,US
10196,US
956,CN
956,DE
956,US
117251,US
50321,US
11619,GB
11619,US
266647,US
82703,US
652,US
652,MT
652,GB
80321,US
36669,GB
36669,US
43074,US
95,US
608,US
2310,US
140300,CN
140300,US
56292,CZ
56292,US
56292,AE
81188,US
7552,US
616,JP
616,US
616,NZ
147441,ES
147441,GB
147441,US
13475,DE
13475,US
557,US
82702,US
205584,AU
205584,US
10048,US
13183,US
944,US
1927,US
72559,US
7364,DE
7364,ES
7364,GB
7364,US
2114,JP
2114,US
1771,US
36643,GB
36643,US
8619,US
50620,US
65759,AU
1724,US
267935,IN
267935,US
281957,CA
281957,HK
281957,TW
281957,US
77950,US
44896,US
270946,US
2503,DE
2503,US
9502,US
102899,US
101299,US
228161,US
74,US
8961,US
417859,US
27576,US
86834,US
17578,NZ
17578,US
673,GB
673,US
6972,AU
6972,US
6972,GB
82700,US
10567,US
181533,GB
181533,US
38055,US
671,GB
671,US
49524,US
22,US
131631,US
591,US
591,MT
591,FR
591,GB
172385,US
36658,US
51497,US
58574,US
18823,US
861,US
1911,US
49040,US
415,GB
415,US
8871,DE
8871,US
435,US
955,DE
955,US
2133,US
1979,DE
1979,GB
1979,US
87827,US
87827,TW
87827,GB
1250,US
1250,AU
324668,GB
324668,US
324668,CN
9471,US
70981,GB
70981,US
10996,US
68724,US
2789,US
97020,CA
97020,US
7459,AU
7459,DE
7459,US
42888,US
37834,US
75612,US
1895,US
1894,US
585,US
76170,GB
76170,US
1893,US
49519,US
2395,BE
2395,FR
2395,DE
2395,IT
2395,ES
12100,US
290595,US
98566,US
49047,GB
49047,US
9619,US
308531,CN
308531,US
308531,HK
166424,US
1593,US
1593,GB
254128,CA
254128,US
254128,AU
714,GB
714,US
2024,DE
2024,US
163,US
787,US
262500,US
2567,US
38745,US
40805,US
53182,US
41513,US
13700,US
262504,US
39254,IN
39254,US
77931,US
1639,US
80274,US
1571,GB
1571,US
120,NZ
120,US
10204,DE
10204,IE
10204,GB
10204,US
8489,US
10588,US
2048,US
2048,DE
1495,DE
1495,MA
1495,ES
1495,GB
1495,US
10137,DE
10137,US
10198,US
286217,US
1635,US
9679,US
98,GB
98,US
180,US
672,DE
672,GB
672,US
36557,IT
36557,GB
36557,US
36557,CZ
36557,DE
869,US
280,FR
280,US
11322,US
4982,GB
4982,US
36955,US
18487,US
39451,US
27581,US
9268,CA
9268,US
68718,US
10545,US
11688,US
76163,US
2059,US
2486,GB
2486,US
2486,HU
16523,US
116711,US
37710,GB
37710,US
37710,FR
37710,IT
9946,US
1372,DE
1372,US
106646,US
414,GB
414,US
563,US
83542,DE
83542,HK
83542,SG
83542,US
41216,AU
41216,US
314,US
184315,US
9016,US
18162,US
138103,FR
138103,US
257088,DE
257088,US
257088,CN
10214,DE
10214,US
205775,US
11692,AU
11692,US
22972,ES
22972,GB
22972,US
22972,FR
227973,US
29193,US
1734,US
3131,US
3131,IT
76758,CN
76758,HK
9408,US
9890,US
855,GB
855,US
77953,US
18,FR
37786,US
10501,US
57800,US
150689,GB
150689,US
7980,GB
7980,NZ
7980,US
12,US
122,NZ
122,US
121,NZ
121,US
68737,CN
68737,CA
68737,US
68737,GB
1995,US
157353,CN
157353,GB
157353,US
331,US
61791,US
8204,US
47964,US
10733,US
9806,US
1408,FR
1408,DE
1408,IT
1408,US
32657,CA
32657,US
607,US
863,US
44048,US
5175,US
2655,US
22794,US
8355,US
116745,US
4327,US
1422,HK
1422,US
10674,US
7446,US
7446,GB
7446,DE
65754,NO
65754,SE
65754,US
1572,US
10528,DE
10528,GB
10528,US
271969,US
10865,US
258509,US
2253,DE
2253,US
10661,US
257344,US
644,US
10756,US
686,US
9383,DE
9383,US
179,FR
179,DE
179,GB
179,US
76285,US
1996,US
1996,DE
1996,JP
1996,GB
291805,CA
291805,CN
291805,GB
291805,US
10003,US
1535,GB
1535,US
2067,US
46195,US
2277,DE
2277,US
10357,US
4477,US
8665,CA
8665,DE
8665,GB
8665,US
9387,US
921,US
49852,GB
49852,HU
4464,US
664,US
8358,US
9836,AU
2502,DE
2502,US
9772,DE
9772,US
161,US
52451,US
52451,DE
52451,FR
52451,GB
76492,US
4523,US
59961,US
10481,US
59108,US
1581,GB
1581,US
9798,US
22897,US
298,US
7484,US
157350,US
853,IE
853,US
853,DE
853,GB
10159,US
9593,US
1904,US
9615,JP
9615,US
51052,US
297,US
9884,US
16858,US
62764,US
22538,US
22538,CA
9341,US
9341,CA
9341,DE
12107,US
9637,US
49049,ZA
49049,GB
49049,US
49049,IN
9339,US
16281,US
39691,US
39691,AU
8247,CA
8247,US
11253,DE
11253,US
1949,US
8452,US
310,US
27578,US
954,US
70160,US
45243,US
364,GB
364,US
7518,US
11544,US
9986,DE
9986,US
8656,US
146216,CA
146216,FR
146216,US
9291,US
55301,US
109418,US
11665,CA
11665,RU
11665,US
6964,US
11324,US
12193,US
9928,US
754,US
10202,US
4147,US
50546,US
1701,US
13027,US
13027,DE
2289,US
2289,GB
2289,RO
2289,IT
20504,US
9574,US
11618,US
2300,US
12096,US
10200,CA
10200,US
8834,US
228150,GB
228150,US
228150,CN
6068,US
41515,US
41515,NZ
9023,US
38317,US
2157,US
14462,US
161795,US
159824,US
49948,US
2135,US
9822,US
9705,AU
9705,US
1656,MX
1656,US
12159,NZ
12159,US
9678,US
4442,CZ
4442,GB
4442,US
75,US
330770,BE
330770,FR
330770,ES
9433,US
19959,US
11973,US
11228,US
77951,AU
77951,IN
77951,GB
77951,US
5491,US
10715,DE
10715,US
10197,IT
10197,US
9562,US
9922,US
9447,AU
274854,US
8870,AU
8870,US
9992,FR
36970,FR
36970,MC
36970,ES
36970,CH
10077,CZ
10077,DE
10077,GB
10077,US
76649,CA
76649,DE
76649,US
293644,IN
293644,MX
453,US
8587,US
72545,US
109451,US
9533,DE
9533,US
2023,US
2023,MA
71880,US
584,US
309809,FR
4858,US
4858,AU
17711,DE
17711,US
328111,US
8698,CZ
8698,DE
8698,GB
8698,US
93456,US
602,US
330,US
953,US
9693,GB
9693,US
36657,US
8909,DE
8909,US
9802,US
950,US
1824,US
2976,GB
2976,US
11026,US
332,US
75656,US
75656,FR
38365,US
594,US
15189,US
11678,NZ
11678,PK
11678,US
6538,US
10555,US
1125,US
4551,US
612,CA
612,US
