id,name,job,gender,department
1330570,Carolyn M. Fenton,Costume Supervisor,0,Costume & Make-Up
1330574,Beth Koenigsberg,Costume Supervisor,0,Costume & Make-Up
1336191,Sam Page,Set Designer,0,Art
1339441,Tex Kadonaga,Set Designer,0,Art
1352422,Kim Foscato,Dialogue Editor,0,Editing
1352962,Tammy S. Lee,Set Designer,0,Art
1357070,Denny Caira,Transportation Coordinator,0,Crew
1357071,James Waitkus,Transportation Coordinator,0,Crew
1360103,Addison Teague,Supervising Sound Editor,0,Sound
1376887,C. Scott Baker,Set Designer,2,Art
1376888,Luke Caska,Set Designer,0,Art
1376889,David Chow,Set Designer,0,Art
1376890,Jonathan Dyer,Set Designer,0,Art
1376891,Joseph Hiura,Set Designer,0,Art
1376892,Rebecca Jellie,Art Department Coordinator,0,Art
1376893,Robert Andrew Johnson,Set Designer,0,Art
1376895,Mike Stassi,Assistant Art Director,0,Art
1376897,John Villarino,Construction Coordinator,0,Art
1376898,Jeffrey Wisniewski,Assistant Art Director,2,Art
1376899,Cheryl Nardi,Dialogue Editor,0,Editing
1376901,Marshall Winn,Dialogue Editor,0,Editing
1376902,Gwendolyn Yates Whittle,Supervising Sound Editor,0,Sound
1376903,William Stein,Sound Re-Recording Mixer,0,Sound
1376909,Lula Washington,Choreographer,0,Crew
1391692,Chris Del Conte,Visual Effects Producer,0,Visual Effects
1391695,R. Christopher White,Visual Effects Supervisor,2,Visual Effects
1394070,Dan Lemmon,Visual Effects Supervisor,0,Visual Effects
1394129,Tim Nielsen,Sound Effects Editor,0,Sound
1394286,Michael Mulholland,CG Supervisor,0,Crew
1394750,Thomas Nittmann,Visual Effects Editor,0,Crew
1394755,Edson Williams,Visual Effects Supervisor,0,Visual Effects
1394953,Christine Carr,Digital Intermediate,0,Editing
1395269,John Bruno,Visual Effects Supervisor,0,Visual Effects
1398970,David Emmerichs,Steadicam Operator,0,Camera
1400906,Christopher Scarabosio,Sound Effects Editor,0,Sound
1401784,Jennifer Teves,Production Supervisor,0,Production
1401785,Brigitte Yorke,Production Manager,0,Production
1401786,Ken Fischer,Sound Effects Editor,0,Sound
1401787,Iain Hutton,Special Effects Coordinator,0,Crew
1401788,Steve Ingram,Special Effects Coordinator,0,Crew
1401789,Joyce Cox,Visual Effects Producer,0,Visual Effects
1401790,Jenny Foster,Visual Effects Producer,0,Visual Effects
1401791,Christopher Marino,Visual Effects Editor,0,Crew
1401792,Jim Milton,Visual Effects Editor,0,Crew
1401793,Cyndi Ochs,Visual Effects Producer,0,Visual Effects
1401794,Lucas Putnam,Visual Effects Editor,0,Crew
1401795,Anthony 'Max' Ivins,Visual Effects Supervisor,0,Visual Effects
1401796,John Knoll,Visual Effects Supervisor,0,Visual Effects
1401799,Eric Saindon,Visual Effects Supervisor,2,Visual Effects
1401800,Wayne Stables,Visual Effects Supervisor,0,Visual Effects
1401801,David Stinnett,Visual Effects Supervisor,0,Visual Effects
1401803,Guy Williams,Visual Effects Supervisor,0,Visual Effects
1401804,Stuart Thorp,Stunt Coordinator,0,Crew
1401805,Giles Coburn,Best Boy Electric,0,Lighting
1401806,Mark Fellman,Still Photographer,2,Camera
1401807,Scott Sprague,Lighting Technician,0,Lighting
1401808,Jeremy Hollobon,Animation Director,0,Visual Effects
1401809,Orlando Meunier,Animation Director,0,Visual Effects
1401810,Taisuke Tanimura,Animation Director,0,Visual Effects
1401812,Lilia Mishel Acevedo,Set Costumer,0,Costume & Make-Up
1401814,Alejandro M. Hernandez,Set Costumer,0,Costume & Make-Up
1401815,Marvin Hall,Digital Intermediate,0,Editing
1401816,Judy Alley,Publicist,0,Production
1418381,Mike Perry,CG Supervisor,0,Crew
1426854,Andrew Morley,CG Supervisor,0,Crew
1438901,Seth Engstrom,Conceptual Design,0,Art
1447362,Eric Oliver,Visual Effects Art Director,0,Crew
1447503,Matsune Suzuki,Modeling,0,Visual Effects
1447524,Paul Tobin,Art Department Manager,0,Art
1452643,Roxane Griffin,Hairstylist,0,Costume & Make-Up
1453938,Arun Ram-Mohan,Lighting Artist,0,Lighting
1457305,Georgia Lockhart-Adams,Makeup Artist,0,Costume & Make-Up
1466035,Thrain Shadbolt,CG Supervisor,0,Crew
1483220,Brad Alexander,CG Supervisor,0,Crew
1483221,Shadi Almassizadeh,CG Supervisor,0,Crew
1483222,Simon Clutterbuck,CG Supervisor,0,Crew
1483223,Graeme Demmocks,CG Supervisor,0,Crew
1483224,Adrian Fernandes,CG Supervisor,0,Crew
1483225,Mitch Gates,CG Supervisor,0,Crew
1483226,Jerry Kung,CG Supervisor,0,Crew
1483227,Andy Lomas,CG Supervisor,0,Crew
1483228,Sebastian Marino,CG Supervisor,0,Crew
1483229,Matthias Menz,CG Supervisor,0,Crew
1483230,Sergei Nevshupov,CG Supervisor,0,Crew
1483231,Philippe Rebours,CG Supervisor,0,Crew
1483232,Michael Takarangi,CG Supervisor,0,Crew
1483233,David Weitzberg,CG Supervisor,0,Crew
1483234,Ben White,CG Supervisor,0,Crew
1621932,Min Windle,Stunts,1,Crew
120,Dariusz Wolski,Director of Photography,2,Camera
1704,Gore Verbinski,Director,2,Directing
770,Jerry Bruckheimer,Producer,2,Production
1705,Ted Elliott,Screenplay,2,Writing
1706,Terry Rossio,Screenplay,2,Writing
1722,Craig Wood,Editor,2,Editing
947,Hans Zimmer,Original Music Composer,2,Sound
2444,Mike Stenson,Executive Producer,2,Production
2445,Eric McLeod,Producer,2,Production
2446,Chad Oman,Producer,2,Production
2447,Peter Kohn,Producer,0,Production
2448,Pat Sandston,Producer,0,Production
2215,Denise Chamian,Casting,1,Production
1226,Rick Heinrichs,Production Design,2,Art
553,John Dexter,Art Direction,2,Art
3311,Priscilla John,Casting,1,Production
4032,Cheryl Carasik,Set Decoration,1,Art
4033,Liz Dann,Costume Design,0,Costume & Make-Up
4034,Penny Rose,Costume Design,1,Costume & Make-Up
5132,Bob Badami,Music Supervisor,2,Sound
146439,James Ward Byrkit,Conceptual Design,2,Art
406204,Ve Neill,Makeup Department Head,1,Costume & Make-Up
1259516,John Dixon,Stunts,2,Crew
1336716,Dottie Starling,CGI Supervisor,0,Crew
1344278,Pamela Alch,Script Supervisor,1,Directing
1368867,Allen Hall,Special Effects Coordinator,0,Crew
1368884,Melissa Muik,Music Editor,0,Sound
1395290,Sharron Reynolds,Script Supervisor,1,Directing
1399327,Barbara McDermott,Music Editor,0,Sound
1400738,Karen Golden,Script Supervisor,1,Directing
1534197,Katie Greathouse,Music Editor,0,Sound
153,Thomas Newman,Original Music Composer,2,Sound
39,Sam Mendes,Director,2,Directing
8384,Anna Pinnock,Set Decoration,1,Art
932,John Logan,Screenplay,2,Writing
4248,Dennis Gassner,Production Design,2,Art
9856,Ian Fleming,Characters,2,Writing
3904,Lee Smith,Editor,0,Editing
7538,Bill Bernstein,Music Editor,2,Sound
8784,Daniel Craig,Co-Producer,2,Production
11227,Jany Temime,Costume Design,1,Costume & Make-Up
10496,Debbie McWilliams,Casting,1,Production
10666,Barbara Broccoli,Producer,1,Production
11268,Roberto Malerba,Line Producer,0,Production
40827,Peter Clarke,Music Editor,0,Sound
14764,Christopher Assells,Sound Designer,0,Sound
14765,Per Hallberg,Supervising Sound Editor,0,Sound
36108,Nicole Schmied,Casting,0,Production
10783,Robert Wade,Screenplay,2,Writing
10782,Neal Purvis,Screenplay,0,Writing
10876,Callum McDougall,Executive Producer,2,Production
21339,Jez Butterworth,Screenplay,2,Writing
23425,Chris Lowe,Supervising Art Director,0,Art
23491,Roxana Alexandru ,Assistant Art Director,0,Art
23774,Jo Grover,Makeup Effects,0,Crew
10907,Stéphane Foenkinos,Casting,2,Production
61851,Lorenzo Senatore,Camera Operator,2,Camera
64000,Wolfgang Ramml,Line Producer,0,Production
66941,J.A.C. Redford,Orchestrator,2,Sound
81517,Gregg Wilson,Associate Producer,0,Production
69678,Michael G. Wilson,Producer,2,Production
77511,Zakaria Alaoui,Line Producer,0,Production
74401,Hoyte van Hoytema,Director of Photography,0,Camera
239885,Franco Ragusa,Special Effects Coordinator,0,Crew
937946,Peter Field,Camera Operator,0,Camera
979698,Neal Callow,Art Direction,2,Art
986687,Mark Harris,Art Direction,2,Art
1024842,Billy A. Campbell,Visual Effects Editor,0,Crew
1026247,Stacy Perskie,Co-Producer,0,Production
1029804,Laura Schultz,Visual Effects Producer,0,Visual Effects
1087452,Mari Paz Robles,Key Hair Stylist,0,Costume & Make-Up
1099281,Gerardo Perez Arreola,Hairstylist,0,Costume & Make-Up
1118711,Kenji Katori,Camera Operator,0,Camera
1296445,Ben Collins,Art Direction,0,Art
1305251,Tusse Lande,Casting Associate,0,Production
1315700,Donald Mowat,Makeup Artist,0,Costume & Make-Up
1319160,Ken Crouch,Costume Supervisor,0,Costume & Make-Up
1335539,Andrew Bennett,Art Direction,0,Art
1338241,Sean McGrath,Visual Effects Coordinator,0,Visual Effects
1338372,Dan O'Connell,Foley,0,Sound
1341741,Mark Curtis,Visual Effects Supervisor,0,Visual Effects
1341858,Gregg Rudloff,Sound Re-Recording Mixer,2,Sound
1342669,Jayne-Ann Tenggren,Script Supervisor,0,Directing
1345595,Scott Millan,Sound Re-Recording Mixer,0,Sound
1358025,Nicoletta Mani,Script Supervisor,0,Directing
1367493,John T. Cucci,Foley,0,Sound
1377503,Sebastian Meuschel,Camera Operator,0,Camera
1388897,Julian Morson,Steadicam Operator,2,Camera
1389614,Peter Michael Sullivan,Foley,0,Sound
1391691,Ken Dailey,Visual Effects Producer,0,Visual Effects
1392083,Ann Scibelli,Sound Designer,0,Sound
1392246,Clive Jackson,Camera Operator,0,Camera
1392661,Susie Jones,Script Supervisor,0,Directing
1392718,Jasin Boland,Still Photographer,2,Camera
1394117,Jennifer Lewicki,Art Department Coordinator,0,Art
1398089,Ian Whiteford,Greensman,0,Art
1398100,Kilou Picard,Visual Effects Producer,0,Visual Effects
1399071,Hans Bjerno,Helicopter Camera,0,Camera
1399862,Daniel Saxlid,Dialogue Editor,2,Editing
1401126,Alex Rouse,Wigmaker,0,Costume & Make-Up
1401147,Anik Seguin,Visual Effects Editor,0,Crew
1401631,Michelle Pazer,ADR & Dubbing,0,Sound
1403411,Lucas Bielan,Camera Operator,2,Camera
1404212,Karen Baker Landers,Supervising Sound Editor,0,Sound
1404217,Peter Staubli,Sound Designer,0,Sound
1404244,John Marzano,Helicopter Camera,0,Camera
1405241,Adam Dale,Helicopter Camera,0,Camera
1408363,Emma McCleave,First Assistant Editor,0,Editing
1409821,Naomi Donne,Makeup Designer,0,Costume & Make-Up
1411323,Susan Howard,Makeup Effects,0,Crew
1414096,David Smith,Gaffer,0,Lighting
1415157,Joel Green,CG Supervisor,0,Crew
1425484,Laurent Hugueniot,CG Supervisor,0,Crew
1425488,Tim Keene,Visual Effects Producer,0,Visual Effects
1425971,Zoe Tahir,Hair Designer,0,Costume & Make-Up
1428902,Conor Byrne,Visual Effects Editor,0,Crew
1439128,Charlotte Hayward,Makeup Artist,0,Costume & Make-Up
1442137,Catherine Mullan,Animation Supervisor,0,Visual Effects
1447617,Crystal Hadcroft,Visual Effects Editor,0,Crew
1458416,Francesca Crowder,Hairstylist,0,Costume & Make-Up
1459878,Marlene Chazot,Animation Director,0,Visual Effects
1459899,Struan Farquhar,Visual Effects Editor,0,Crew
1459925,Daniel Pastore,CG Supervisor,0,Crew
1470167,Jonathan Olley,Still Photographer,0,Camera
1472773,Sami Gaidi,Assistant Art Director,0,Art
1477203,Luca Marco Paracels,Co-Producer,2,Production
1480629,Luca Vannella,Key Hair Stylist,0,Costume & Make-Up
1483141,Stuart Bullen,Visual Effects Supervisor,0,Visual Effects
1494824,Russell Edwards,Sound Effects Editor,0,Sound
1510431,Stefano De Nardis,Costume Supervisor,0,Costume & Make-Up
1512767,Luis David Sansans,Camera Operator,0,Camera
1545912,Abderrahim Benkhayi,Costume Supervisor,0,Costume & Make-Up
1545913,Rachid Aadassi,Set Costumer,0,Costume & Make-Up
1545995,Carlos De Carvalho,Additional Camera,0,Camera
1546747,Vivienne Jones,Assistant Costume Designer,0,Costume & Make-Up
1548406,Kim Honeyman,Digital Intermediate,0,Editing
1550637,Kathryn Fa,Hairstylist,0,Costume & Make-Up
1551770,Paul Duff,Carpenter,0,Crew
1551771,Ben Wilkinson,Property Master,0,Crew
1551772,Lynne Corbould,Special Effects Coordinator,0,Crew
1551773,Amal El-Farfachi,Casting,0,Production
1551774,Celebrity Booker,Casting Associate,0,Production
1551775,Lucy Hellier,Casting Associate,0,Production
1551777,Richard Davies,Assistant Costume Designer,0,Costume & Make-Up
1551789,Ando Johnson,Sound Effects Editor,0,Sound
1551791,Greg Corke,Armorer,0,Crew
1551796,Amin Rharda,Researcher,0,Production
1551797,Joss Skottowe,Armorer,0,Crew
1551798,Joseph Koniak,Hairstylist,0,Costume & Make-Up
1551800,Thalía Echeveste,Makeup Artist,0,Costume & Make-Up
1551801,Charlie Hounslow,Makeup Artist,0,Costume & Make-Up
1551802,Lucy Friend,Makeup Artist,0,Costume & Make-Up
1551803,Yelska Labrada,Makeup Artist,0,Costume & Make-Up
1551804,Ana Gabriela Quinonez,Makeup Artist,0,Costume & Make-Up
1551807,Gina De Ferrer,Researcher,0,Production
1551809,Lydia Fry,Assistant Art Director,0,Art
1551810,Liam Georgensen,Assistant Art Director,0,Art
1551811,Hugh McClelland,Assistant Art Director,0,Art
1551812,John Allen,Carpenter,0,Crew
1551813,Eddie Murphy,Carpenter,0,Crew
1551872,Carlos-Christian Nickel,CG Supervisor,0,Crew
1551874,Chris Petts,CG Supervisor,0,Crew
1551892,Hugh Brompton,Visual Effects Coordinator,0,Visual Effects
1551893,Jillian Brooks,Visual Effects Coordinator,0,Visual Effects
1551894,Geraint Hixson,Visual Effects Coordinator,0,Visual Effects
1551896,Shawn Smolensky,Visual Effects Coordinator,0,Visual Effects
1551897,Todd Whalen,Visual Effects Coordinator,0,Visual Effects
1551898,Alysia Wildman,Visual Effects Coordinator,0,Visual Effects
1551899,Sam Girdler,Visual Effects Coordinator,0,Visual Effects
1551902,Samantha Dark,Visual Effects Coordinator,0,Visual Effects
1551904,Ty Gibson,Visual Effects Editor,0,Crew
1551906,James Mann,Visual Effects Editor,0,Crew
1551907,Leslie Lerman,Visual Effects Producer,0,Visual Effects
1551908,Steven Begg,Visual Effects Supervisor,0,Visual Effects
1551909,Zave Jackson,Visual Effects Supervisor,0,Visual Effects
1551910,Jonathan Knight,Visual Effects Supervisor,2,Visual Effects
1551911,Alex Wuttke,Visual Effects Supervisor,0,Visual Effects
1551913,Mark Bakowski,Visual Effects Supervisor,0,Visual Effects
1551914,Paul Round,Visual Effects Supervisor,0,Visual Effects
1553236,Stefano Marino,Gaffer,0,Lighting
1582109,Hanz Kawson,Gaffer,0,Lighting
282,Charles Roven,Producer,0,Production
525,Christopher Nolan,Screenplay,2,Writing
527,Jonathan Nolan,Screenplay,2,Writing
556,Emma Thomas,Producer,1,Production
559,Wally Pfister,Director of Photography,2,Camera
561,John Papsidera,Casting,0,Production
3893,David S. Goyer,Story,2,Writing
3794,Bob Kane,Characters,2,Writing
10949,Michael Uslan,Executive Producer,2,Production
10951,Benjamin Melniker,Executive Producer,2,Production
9568,Jim Palmer,Stunts,2,Crew
9991,Karen Blynder,Makeup Artist,0,Costume & Make-Up
10714,Lindy Hemming,Costume Design,1,Costume & Make-Up
12039,Paki Smith,Set Decoration,0,Art
14762,Robert Woodruff,Art Direction,2,Art
15327,Nathan Crowley,Production Design,2,Art
15328,Kevin Kavanaugh,Production Design,0,Art
17677,Naaman Marshall,Supervising Art Director,0,Art
35630,Timothy Healy,Electrician,0,Lighting
40120,Brian 'Buzz' Buzzelli,Rigging Grip,0,Lighting
52193,R.J. Kizer,ADR & Dubbing,2,Sound
54211,Thomas Tull,Executive Producer,0,Production
57569,Lee Sheward,Stunts,2,Crew
61329,Declan Mulvey,Stunts,0,Crew
62560,Gerald Sullivan,Art Direction,0,Art
31172,Zack Grobler,Art Direction,0,Art
68016,Kevin Kaska,Orchestrator,0,Sound
81687,Rick Avery,Stunts,2,Crew
75804,Kevin De La Noy,Executive Producer,2,Production
113913,Jordan Goldberg,Co-Producer,0,Production
114017,Karl McMillan,Production Manager,0,Production
92231,May Leung,VFX Supervisor,0,Visual Effects
122549,Philippe Vonlanthen,Stunts,2,Crew
138618,Gary Rizzo,Sound Re-Recording Mixer,0,Sound
142157,Doug Coleman,Stunts,0,Crew
202930,Anthony Molinari,Stunts,2,Crew
204339,Christopher Place,Stunts,0,Crew
230436,Barbara Harris,ADR & Dubbing,0,Sound
550900,Carrick O'Quinn,Stunts,0,Crew
932186,Bruce Fowler,Orchestrator,2,Sound
932748,Roy T. Anderson,Stunts,2,Crew
969743,Dean Wolcott,Art Direction,2,Art
1018958,Toby Whale,Casting,0,Production
1025090,Jim Wilkey,Stunts,2,Crew
1034754,James Hambidge,Supervising Art Director,0,Art
1045964,Aaron Vexler,Stunts,0,Crew
1046614,Carmia Marshall,Set Costumer,0,Costume & Make-Up
1050930,Hugo Weng,Dialogue Editor,0,Editing
1061061,Adam Horton,Stunts,0,Crew
1106629,Raymond Mamrak,Stunts,0,Crew
1116937,John Roesch,Foley,2,Sound
1155668,Mike Chambers,Visual Effects Producer,0,Visual Effects
1270053,Emmanuel Pappas,Production Manager,0,Production
1301652,Stephen W. Schriver,Stunts,0,Crew
1319744,Linda Matthews,Costume Supervisor,0,Costume & Make-Up
1322015,Luisa Abel,Makeup Department Head,0,Costume & Make-Up
1327144,Sue Whitaker,Art Direction,0,Art
1329415,Samantha MacIvor,Stunts,1,Crew
1329527,Jared Burke,Stunts,0,Crew
1336192,Laura Downing,Costume Supervisor,0,Costume & Make-Up
1336193,Rebecca Levin,Set Costumer,0,Costume & Make-Up
1340941,Ray Siegle,Stunts,0,Crew
1341403,Richard King,Sound Designer,2,Sound
1341786,Bryan O. Watkins,Sound Effects Editor,0,Sound
1348686,Bradley Porter,Production Office Assistant,0,Crew
1355530,Cuitlahuac Morales Velazquez,Sculptor,0,Art
1357062,Scott R. Fisher,Special Effects Coordinator,0,Crew
1357064,Greg Baldi,Camera Operator,0,Camera
1357066,P. Scott Sakamoto,Camera Operator,0,Camera
1358564,Trampas Thompson,Stunts,2,Crew
1367508,Steve Gehrke,Script Supervisor,2,Directing
1372882,Derrick Mitchell,Visual Effects Editor,0,Crew
1377222,Michael W. Mitchell,Sound Effects Editor,0,Sound
1378222,Joe Ondrejko,Construction Coordinator,0,Art
1378231,Ken J. Johnson,Sound Effects Editor,0,Sound
1378246,Lori Harris,Set Costumer,0,Costume & Make-Up
1378726,Francie Brown,Dialect Coach,0,Crew
1384390,Trevor Habberstad,Stunts,0,Crew
1389526,Amanda Pettett,Construction Coordinator,0,Art
1391648,Hana Rausalova,Set Costumer,0,Costume & Make-Up
1392587,Tom Still,Art Direction,0,Art
1393387,Jeff Brink,Special Effects Coordinator,0,Crew
1394050,Paula Jack,Dialect Coach,0,Crew
1395030,Alison Evans,Set Costumer,0,Costume & Make-Up
1395032,Amanda Jenkins,Set Costumer,0,Costume & Make-Up
1395430,Jenne Lee,Art Department Coordinator,0,Art
1395435,Theodore Sharps,Set Designer,0,Art
1397823,Alyson Dee Moore,Foley,0,Sound
1399323,Mustapha Mimis,Set Costumer,0,Costume & Make-Up
1399463,Bruce Lee Gross,Leadman,0,Art
1399876,Ron Phillips,Still Photographer,0,Camera
1402008,Kathleen S. Dunn,Dialect Coach,1,Crew
1402079,Matthew Reedy,Assistant Director,0,Directing
1403424,Roberto Craciunica,Costume Design,0,Costume & Make-Up
1403427,Candice D. Campos,Production Supervisor,0,Production
1404739,Steve Koster,Helicopter Camera,0,Camera
1408347,Pete Bebb,Visual Effects Supervisor,0,Visual Effects
1409824,Natasha Ladek,Wigmaker,0,Costume & Make-Up
1411808,Chris Bertholf,Painter,0,Art
1412185,Jay Wejebe,Makeup Artist,0,Costume & Make-Up
1413089,William Gideon,Construction Foreman,0,Art
1415606,Diana Choi,Makeup Effects,0,Crew
1416005,Claudia Kalindjian,Unit Publicist,0,Crew
1417396,Toby Britton,Art Direction,0,Art
1417397,Jonathan Kevin Ong,Art Direction,0,Art
1417398,Janice Alexander,Hairstylist,0,Costume & Make-Up
1417399,Patricia DeHaney,Hairstylist,0,Costume & Make-Up
1417400,Deena Adair,Hairstylist,0,Costume & Make-Up
1417403,Andre Gilbert,Makeup Effects,0,Crew
1417406,Michael Murray,Production Manager,0,Production
1417407,Thomas Hayslip,Production Manager,0,Production
1417408,Mika Saito,Production Supervisor,0,Production
1417409,Pippa Needs,Art Department Coordinator,0,Art
1417410,Laura Pliskin,Art Department Coordinator,0,Art
1417411,Anna Bregman,Assistant Art Director,0,Art
1417412,Robert W. Joseph,Assistant Art Director,0,Art
1417413,Barry Wilkinson,Property Master,0,Crew
1417414,Glen Pangione,Construction Coordinator,0,Art
1417415,Mychael Bates,Property Master,2,Art
1417416,Brandon A. Plonka,Greensman,0,Art
1417417,Elizabeth Tomasetti,Scenic Artist,0,Crew
1417418,Sean Ginevan,Leadman,0,Art
1417419,Jason Kolowski,Set Designer,0,Art
1417514,Michael Babcock,Sound Effects Editor,0,Sound
1417515,Randle Akerson,Sound Effects Editor,0,Sound
1417516,Jeff Sawyer,Sound Effects Editor,0,Sound
1417517,Carlos Solis,Sound Re-Recording Mixer,0,Sound
1417820,Nick Dacey,Visual Effects Editor,0,Crew
1417821,Claudia Dehmel,Visual Effects Producer,0,Visual Effects
1417822,Reuben Lloyd-Pack,Visual Effects Editor,0,Crew
1417823,Steve Miller,Visual Effects Editor,0,Crew
1417824,Christopher Payne,Visual Effects Editor,0,Crew
1417825,Julian Foddy,CG Supervisor,0,Crew
1417826,Paul J. Franklin,Visual Effects Supervisor,0,Visual Effects
1417827,Nicola Hoyle,CG Supervisor,0,Crew
1417828,Andrew Lockley,Visual Effects Supervisor,0,Visual Effects
1417829,Alison Wortman,Sequence Supervisor,0,Crew
1417830,Maxx Wai In Leong,Sequence Supervisor,0,Crew
1417831,Sy Hollands,Stunt Coordinator,0,Crew
1417832,Ryan Rodriguez,Gaffer,0,Lighting
1417833,Reuben Garrett,Gaffer,0,Lighting
1417834,Dane Bjerno,Camera Technician,0,Camera
1417835,Ian Franklin,Rigging Gaffer,0,Lighting
1417836,Andrew McEvoy,Animation,0,Visual Effects
1417837,Brendan Handscombe,Costume Supervisor,0,Costume & Make-Up
1417838,Lindsay Kouri,Set Costumer,0,Costume & Make-Up
1417839,David Butler,Set Costumer,0,Costume & Make-Up
1417840,Eric A. Lewy,First Assistant Editor,0,Editing
1417841,Ryan Rubin,Music Editor,0,Sound
1417842,Gary Birmingham,Transportation Coordinator,0,Crew
1417843,Tyler W. Gaisford,Picture Car Coordinator,0,Crew
1417844,Mark Somner,Location Manager,0,Production
1417845,Joaquin Diego Prange,Location Manager,0,Production
1417846,Vans Pradeep Singh Rathore,Location Manager,0,Production
1417847,James A. Mahathey,Location Manager,0,Production
1417848,Jonathan Hook,Location Manager,0,Production
1427499,Stephanie Hovette,Hairstylist,0,Costume & Make-Up
1434599,Brian Smyj,Stunts,0,Crew
1440853,Donald Likovich,Assistant Editor,0,Editing
1455503,Ian Mclaughlin,Stunts,0,Crew
1463954,Dixie Webster,Casting,0,Production
1468581,Victor Paguia,Stunts,0,Crew
1468589,Wade Sullivan,Assistant Costume Designer,0,Costume & Make-Up
1483827,Sid Karne,Stunts,0,Crew
1509394,Michael J. Prate,Grip,0,Camera
1509396,Tom Prate,Grip,0,Camera
1516458,R. Cory McCutcheon,Hairstylist,0,Costume & Make-Up
1525908,Anne O'Brien,Assistant Editor,0,Editing
1531529,Rex Reddick,Stunts,0,Crew
1532610,Bob Hall,First Assistant Camera,0,Camera
1532612,Blake Pike,Rigging Grip,0,Lighting
